Li_eGFR_500	Li_UACR_500	Li_eGFR_Monogenic	Li_UACR_Monogenic	Sheng_eGFR	Sheng_SBP	Sheng_Kidney_Function	Cippa_Acute_Injury	Cippa_Acute_Early_TF	Cippa_Acute_Mouse_Overlap	Cippa_Late_Fibrosis	Cippa_Late_Recovery	Cippa_Mid_Acute	Cippa_Late	Cippa_Late_Mouse_Overlap	Cippa_Late_TF	Cippa_Fibrosis_Branch	Cippa_Acute_Human_Specific	Cippa_Late_Human_Specific
																AMIGO1		
																STAG3L2		
																STK35		
																SNHG14		
																KIAA1671		
																CABIN1		
																C12orf66		
																METAP1D		
																ATXN1		
																AC092834.1		
																VPS13D		
																SMAD2		
																CRLF3		
																PIK3CB		
																RPL23AP82		
																ZNF565		
																MIOS		
																RBSN		
																ZNF776		
																FIP1L1		
																METTL4		
																ZNF629		
																INPP5F		
																SLFN11		
																CBWD2		
																CLCN4		
																TXNDC16		
																UTP4		
																NECTIN4		
																VPS53		
																MAPK9		
																SENP1		
																THEMIS2		
																ZNF585B		
																ARMCX5.GPRASP2		
																IL27RA		
																ZNF521		
																GEMIN5		
																CYTH4		
																TOP2A		
																AL162390.1		
																SPCS2P4		
																MSL1		
																TANGO6		
																KIF20B		
																RASSF2		
																CAMK1G		
																TRPV2		
																COL6A3		
																USP34		
																ASAP3		
																USP45		
																PXDN		
																ZFP14		
																ZNF235		
																GAN		
																CDK2		
																SAMD12		
																SRSF9		
																C18orf25		
																TDRKH		
																RALGPS2		
																FRYL		
																C1orf35		
																KATNBL1		
																MFGE8		
																ITGB7		
																TCP11L1		
																GOLGA2		
																ANTXR2		
																LRRC49		
																ARIH1		
																SENP8		
																PARP8		
																BTAF1		
																KANSL1L		
																POLR1A		
																STX6		
																CNKSR3		
																RIPOR2		
																ATR		
																MUM1L1		
																STIM2		
																EFEMP2		
																SSH2		
																SIDT2		
																BCL2		
																HLCS		
																MTMR14		
																GTF3C4		
																NRF1		
																CDC7		
																DNAJB6		
																MYO5B		
																ZNF225		
																SAMD15		
																MRPL45P2		
																WRN		
																SCN2A		
																ELF2		
																CBFA2T2		
																KIF3A		
																POLG2		
																FAM221A		
																ZNF765		
																DNAJC27		
																A2M.AS1		
																TRAF3IP3		
																VPS33A		
																FLI1		
																GPATCH2L		
																PTPRJ		
																ZDHHC17		
																SNIP1		
																IL4R		
																ZNF320		
																DOPEY1		
																ZNF10		
																RFTN2		
																F5		
																LRRFIP2		
																TOP3A		
																SPDYE3		
																CDK8		
																ZSWIM3		
																ZCCHC8		
																ANKRD39		
																ZNF7		
																ZNF221		
																ZNF286A		
																TRIM37		
																AC006504.5		
																ATM		
																USP54		
																CD300LG		
																TMX2P1		
																BICRAL		
																FGD6		
																JAML		
																DTWD1		
																NFATC3		
																UNC45A		
																NCAPG2		
																TMEM178B		
																AC020915.1		
																PPM1D		
																SH3BP5L		
																LINC00663		
																EPC2		
																HRH1		
																H2AFY		
																ZNF618		
																SOX13		
																ANKRD29		
																ZKSCAN8		
																SLC38A9		
																ANKH		
																ACTR5		
																PIGG		
																LIN9		
																MCM8		
																ZBTB25		
																MAGI1		
																USP37		
																GLIPR1		
																DZANK1		
																TMEM169		
																ZNF135		
																CEP97		
																COL4A2		
																ZSWIM8		
																C1orf226		
																POLG		
																SEC61A2		
																EFCAB11		
																RPGR		
																CEP41		
																VPS13B		
																PLLP		
																FOCAD		
																AC020661.3		
																SMG1		
																HAUS5		
																AC023283.1		
																MPPED2		
																RGP1		
																TWNK		
																ZFC3H1		
																AC099343.3		
																ZNF720		
																BCL2L11		
																HPS3		
																GABPB1		
																SPAG8		
																SAMD4B		
																DIAPH2		
																PPIP5K1		
																PHF21A		
																ALPK3		
																ZNF300		
																ZNF621		
																TEX9		
																LINC00630		
																CREBBP		
																CDC14B		
																KIF1B		
																TTLL4		
																AC009061.2		
																VANGL1		
																UHRF1BP1		
																C9orf72		
																PCSK5		
																SRRD		
																ZNF708		
																SMURF1		
																RPS6KC1		
																DOCK7		
																PALB2		
																CCBE1		
																CA5B		
																PDE1C		
																TIGD6		
																UBQLN4		
																BBIP1		
																FAM45A		
																ZNF264		
																SDR42E1		
																FANCG		
																CYB561D1		
																ZNF641		
																PHTF1		
																GTPBP10		
																PIGL		
																CDK19		
																NPHP1		
																ZNF718		
																ADPRH		
																AGTPBP1		
																SPRTN		
																ZNF449		
																LIPG		
																TYW5		
																GGA3		
																AL390728.4		
																ASB7		
																AHCTF1		
																CENPBD1		
																NAALADL1		
																ROBO4		
																ZNF585A		
																MEGF8		
																EMSY		
																PSTPIP2		
																NCBP3		
																ART4		
																TOPBP1		
																ZNF788		
																ZNF248		
																CDH13		
																GZF1		
																LRMDA		
																NEMP1		
																ZC3H8		
																SPECC1		
																ZSCAN29		
																ZNF551		
																CNNM3		
																AKAP3		
																IQSEC1		
																C7orf49		
																NR2C1		
																ZNF549		
																CDH11		
																RNASEH2B		
																ZNF493		
																SHROOM4		
																RAPGEF4		
																CSNK1E		
																SEMA4B		
																ZNF841		
																DIP2B		
																AC098820.1		
																AGFG2		
																KCTD7		
																ZNF813		
																CLIP3		
																ZNF224		
																ZNF318		
																CXorf21		
																CAPRIN2		
																MYRF		
																NFE2L3		
																FIGN		
																ZNF747		
																METTL12		
																SPICE1		
																ZNF772		
																FBXO45		
																PA2G4P6		
																C3orf18		
																NFAT5		
																PARP6		
																FAM129A		
																BMP7		
																ZNF607		
																FRMD4A		
																GANC		
																REPS1		
																WDR7		
																LINC01024		
																FAM160A2		
																EXO5		
																ISG20		
																SLC9A7		
																EPB41L4A		
																ZNF780A		
																NPR2		
																LRCH3		
																CHST14		
																LYST		
																TIE1		
																NR2C2		
																ZNF440		
																TATDN2		
																RRP1B		
																IL15RA		
																SNAP25		
																PRF1		
																SKP2		
																MAP1A		
																PARP12		
																ZNF814		
																SIPA1L2		
																ZFP37		
																LEF1		
																CEP152		
																CCDC30		
																ANKS6		
																PRIM2		
																STK10		
																TARBP1		
																RAB37		
																OPHN1		
																ZNF75D		
																GPRIN3		
																FBXO46		
																ARMC9		
																NRXN3		
																ST3GAL2		
																NCKAP1L		
																KDM3A		
																ZNF418		
																IKZF4		
																DAGLB		
																CHIC1		
																SNHG21		
																SLC43A3		
																CEP295		
																TNKS		
																RPL7L1P3		
																FBXO42		
																RECQL5		
																ELMO1		
																TBCEL		
																BTBD19		
																ZMYM6		
																PSMD6.AS2		
																SMAP1		
																KNOP1		
																AL080250.1		
																ZNF8		
																KIAA1107		
																JARID2		
																STK24		
																QSOX1		
																LRRC37A3		
																EPHA2		
																FZD3		
																ZSCAN22		
																CENPL		
																TCTN1		
																MBD5		
																SHPRH		
																AF127577.4		
																FAM53C		
																C15orf41		
																TBCD		
																BAIAP2.AS1		
																OTUD3		
																TADA2B		
																MEN1		
																PSMD9		
																LMTK2		
																ZNF430		
																PTPN21		
																FNTA		
																MTHFD1L		
																CD300A		
																IL17RA		
																ZNF835		
																ZNF141		
																TTC28		
																AC097376.2		
																FAM124A		
																GAB3		
																NIPA1		
																ZDHHC15		
																ZCCHC2		
																PCGF3		
																GFPT2		
																ZSCAN12		
																SNHG20		
																GSE1		
																TTF2		
																CCDC3		
																RCE1		
																PAG1		
																DDX31		
																SLC7A1		
																DUSP7		
																AC011379.1		
																HTR3B		
																PRICKLE1		
																ARHGAP32		
																HCFC1		
																SPATA7		
																PTPRE		
																EPG5		
																TRIM16		
																FAM49A		
																SLC10A7		
																INTS5		
																CKS1B		
																GPN2		
																HELLS		
																C14orf93		
																EXOC6B		
																ECE2		
																ATG2B		
																PHF11		
																INTS8		
																SPATA5		
																ABI2		
																PRDM1		
																PHLPP1		
																SLIT3		
																APBB1IP		
																HAUS8		
																ARHGAP31		
																CEP78		
																TMEM45A		
																LRRC4		
																GCC1		
																LINC01138		
																VOPP1		
																CYP2C9		
																38200		
																TRAF5		
																AK9		
																CHST2		
																P2RX7		
																BCO2		
																TEAD2		
																SPTBN2		
																SIK3		
																GPR18		
																SERTAD4		
																UBE2O		
																CPNE2		
																ZNF829		
																ASCC3		
																FIGNL1		
																DOCK8		
																SASS6		
																AL136981.2		
																PLCH1		
																PHF8		
																ZCCHC11		
																RPL4P4		
																PSMA6		
																ZNF529		
																SLCO3A1		
																JRK		
																METTL8		
																LINC00908		
																RBFA		
																SERAC1		
																LMLN		
																AC007216.3		
																ZNF79		
																ZNF527		
																OVOL1		
																ZNF592		
																CYSLTR1		
																ARHGEF38		
																NEK5		
																TMEM182		
																NFKBIE		
																MAGEE1		
																RIC1		
																LINC01011		
																ZNF285		
																JADE2		
																ABTB2		
																TCAF1		
																CEP57L1		
																PGK1P2		
																PGM5		
																FGD1		
																IRS2		
																PSPN		
																CBR3.AS1		
																RSPH9		
																ZNF785		
																MLKL		
																FAM57A		
																TMEM241		
																TTLL5		
																LRRN2		
																UNC5B		
																KIAA0586		
																ZSWIM5		
																ZNF605		
																TMEM62		
																FKTN		
																SLC35C1		
																ZDHHC23		
																LRIG1		
																ST5		
																GTF2IRD1		
																KIAA1958		
																MORC4		
																PML		
																DNMT3A		
																DUSP18		
																ELF4		
																ZNF878		
																ZNF799		
																C16orf72		
																AP002495.1		
																KLF8		
																PHF13		
																TBC1D16		
																OSBPL10		
																C14orf79		
																NRIP3		
																INPP5A		
																WDR63		
																C2CD3		
																MAU2		
																ZNF43		
																ZNF609		
																RBM4		
																TEP1		
																USP32		
																DRC3		
																REEP1		
																FTX		
																DNAJA4		
																ZNF383		
																MID2		
																PSTK		
																GFOD1		
																CLK3		
																PHKA1		
																HSP90AB2P		
																EFR3B		
																PHF20L1		
																RIPK4		
																RAD51B		
																ZBTB49		
																PRR11		
																RASGRF2		
																ERCC6		
																RPL17		
																ADGRA3		
																PSMB3		
																FAM169A		
																FAM149B1		
																NONOP2		
																ROBO1		
																USP31		
																MMP24		
																TMEM91		
																AC090198.1		
																TRGC1		
																ZFAND4		
																ZBED4		
																DEPDC5		
																CENPJ		
																RUNX1T1		
																SETD1B		
																ZNF554		
																ZNF571		
																ADAMTS16		
																ZSCAN5A		
																THSD4		
																XKR8		
																LARGE1		
																37834		
																CHST10		
																DENND4B		
																BCORL1		
																EPC1		
																MDN1		
																ZNF514		
																NEU3		
																RAD18		
																LINC00680		
																ARHGEF7		
																ZXDB		
																BAIAP2L1		
																WDPCP		
																CRTC3		
																ZBTB34		
																RNF43		
																MAPK8		
																AC135506.1		
																LINC01128		
																ZNF667		
																LAMA4		
																ITGA9		
																MBNL3		
																MKL2		
																PSD3		
																EEF2K		
																RAB30		
																UBE3D		
																BRAF		
																FBN1		
																GRIP1		
																PRKCH		
																MAN2A2		
																PRC1		
																DHX38		
																LINC00899		
																ZNF510		
																MCC		
																AP5B1		
																ZFP64		
																ZRANB1		
																NUTM2A.AS1		
																DPY19L3		
																ZNF431		
																ZNF532		
																CALHM2		
																GTF2IP20		
																TRRAP		
																ITPRIP		
																INPP4A		
																DPY19L1		
																FOXK2		
																ANXA2R		
																MON2		
																DFFB		
																MCM9		
																PRMT7		
																CPXM1		
																ATXN3		
																HNRNPA1L2		
																JADE3		
																POLM		
																PAXIP1		
																NGFR		
																ZNF517		
																AVL9		
																WISP1		
																RAD51D		
																ESR1		
																SHANK2		
																WDFY2		
																DMD		
																ITSN1		
																FCMR		
																TLK2		
																IFI27L1		
																ZNF382		
																SLC9A1		
																FAM86JP		
																NOVA1		
																LAYN		
																ZNF526		
																GRK3		
																ACTR3C		
																GABPB1.AS1		
																DIP2A		
																ZNF142		
																CHST7		
																UHRF2		
																EPB41		
																BARX2		
																ATP6V1E2		
																PGS1		
																SOCS2.AS1		
																RGMB		
																GCNT1		
																PDK1		
																POLR3E		
																ZNF223		
																INTU		
																TAMM41		
																CAD		
																PDE4DIP		
																OTULIN		
																MAP3K9		
																TTBK2		
																POLR3D		
																HNRNPKP4		
																EPHA1		
																RALGPS1		
																ZNF500		
																PINK1.AS		
																FAM161B		
																TPK1		
																KIAA1328		
																UBN2		
																ZNF19		
																SPATA2		
																PAPD7		
																AL024508.2		
																TSNAXIP1		
																MICALL1		
																KIAA1324L		
																TBC1D32		
																TMEM131L		
																CCDC84		
																PPP5C		
																USP42		
																PCSK7		
																PROSER2		
																AC004893.2		
																ADCY5		
																DPP6		
																PEAK1		
																ZC3H10		
																RCCD1		
																ZSCAN25		
																LAMA2		
																ZNF862		
																XXYLT1		
																NLRC5		
																ZRANB3		
																SLC35E3		
																RBM33		
																MMP19		
																ADAT2		
																ZBTB37		
																KCNC4		
																SLC1A4		
																FANCM		
																MUS81		
																RHBDF1		
																ZNF107		
																DNAJC9		
																ZNF764		
																ARHGAP17		
																TIAM1		
																AACS		
																AFG1L		
																FAM120C		
																ABRAXAS1		
																TANC2		
																PHF12		
																ZNF525		
																ERI2		
																KDM4C		
																TTC13		
																TIMM23B		
																MAP3K14		
																TCOF1		
																CTBP1.AS2		
																ZNF496		
																PEX26		
																NYNRIN		
																KIAA0391		
																TRIM66		
																RRP12		
																PPL		
																ZNF445		
																TTC28.AS1		
																PMM2		
																KRTCAP2		
																SLC25A53		
																ZBED3.AS1		
																FMNL3		
																KHNYN		
																ZNF740		
																SLC9A8		
																USP6NL		
																CELSR2		
																ZNF333		
																REL		
																POM121C		
																NRDE2		
																TUBGCP4		
																ZNF891		
																AC005154.1		
																SMG9		
																NSD2		
																AFAP1		
																DEAF1		
																SNHG12		
																PSMG3.AS1		
