pval	A	s.t..oConditionAKI	s.t..oConditionRef	gene	fdr
3.24189901712973e-127	0.0210207881923851	0	0	AC136475.3	9.8359216179716e-123
5.37856091365377e-26	0.0101642495791683	0	0.543898496299683	AC137810.1	1.43903397244807e-21
1.07729472921142e-159	0.149600369368894	0	0	AC138123.1	3.29566003560357e-155
2.89454476156294e-35	0.0267175576055261	0	0	AC138627.1	8.00978426419697e-31
1.89593813203871e-21	0.0465878016307917	0	0.00390431806572084	AC139887.2	4.95389674520394e-17
1.18892579414902e-53	0.0104049789392492	2.48114149892231e-07	0.00498129903551447	AC211486.5	3.4179238730196e-49
9.49485108248295e-76	0.0295089336740375	0	0	AC233296.1	2.79908209911597e-71
3.89456322163091e-178	0.0447014346333864	0.000210405179635442	0.223759976169914	AC239809.3	1.19605931099507e-173
1.25717076657394e-94	0.0304999323024421	0	0.124331983774996	AC243964.2	3.75818628959614e-90
3.36441596712447e-74	0.0411972161686996	0	2.52485880575248e-06	AC244131.2	9.90282195763416e-70
3.71274893235406e-112	0.0891407056928518	0	0	AC245060.5	1.12021060786987e-107
4.11896636573975e-12	0.0144011220235368	0.00342026494556547	0.505757301731158	AC246817.2	9.90858548942354e-08
1.74792304482719e-282	0.124615633769756	0	0	ACAA1	5.44093485393809e-278
1.10175835172717e-70	0.0732168688544731	0	1.05210034355152e-05	ACACA	3.23498287234133e-66
2.72176893854731e-264	0.18180680251578	9.19647154740133e-06	0	ACACB	8.45762479964192e-260
2.0984883709597e-34	0.0458365317916746	6.13778444569224e-06	0	ACADL	5.79392639221974e-30
3.78371028944741e-96	0.0689284737386823	0	0	ACADM	1.13204828149977e-91
8.98005038420514e-95	0.0515538201224453	0.00166242343921236	0	ACADSB	2.68476566336581e-90
9.9194967662339e-155	0.11762732045677	0	0	ACADVL	3.03149740672874e-150
5.61370512847377e-58	0.0630692156812595	0.000231744770444076	0	ACAP2	1.62449399007774e-53
1.65401768572227e-24	0.0313082681798473	2.01097318441867e-06	0	ACAP3	4.39373258035265e-20
4.92444036190927e-41	0.04662324582718	1.19633623790749e-06	0	ACAT1	1.38485111857612e-36
1.61638598555834e-82	0.107715401609618	0.00430486436192434	0	ACBD6	4.79193789278627e-78
6.53631111437288e-39	0.0102298048433105	0.000276629266904138	2.45938828362657e-05	ACE	1.8286637604681e-34
1.95408976922766e-81	0.0619659711662683	0	0	ACE2	5.78762307849847e-77
2.09788483264053e-32	0.0490734740890316	0.000341932791449784	0	ACER3	5.75995259649783e-28
1.97937504506479e-79	0.076116456709795	0	0	ACLY	5.85439757078814e-75
0	0.278382697014375	0	0	ACMSD	0
4.14865530695142e-227	0.109998017014765	0	0	ACO1	1.28467260235058e-222
1.3453316940415e-77	0.085283502411008	0	0	ACO2	3.97397529102919e-73
3.26391139365172e-65	0.0823161255707802	0	1.76593172179773e-06	ACOT11	9.52801014034809e-61
1.00338528049799e-80	0.0414336293857424	0	0	ACOT13	2.97042178438626e-76
2.58867290325395e-27	0.0235101819052699	0	0.206910580923908	ACOT7	6.96585991536605e-23
1.32755262178219e-95	0.0625026263230826	0	0	ACOX1	3.97017887070182e-91
4.00714927903376e-51	0.027298535420966	3.28942165894741e-05	0.00121379744234085	ACP5	1.1475273390369e-46
3.34999947798354e-19	0.0194611994171931	0.00824345738972448	0	ACP6	8.62222865643403e-15
0	0.559480705337868	0	0	ACSF2	0
1.06431095688293e-246	0.139951373288361	0	0	ACSL1	3.30213117482499e-242
1.07331611447424e-42	0.049287672498246	0	0	ACSL4	3.02964939632643e-38
1.09036173678614e-239	0.0491560381909417	0	0	ACSM1	3.38055752873176e-235
0	0.849314640951276	0	0	ACSM2A	0
0	0.952336718440191	0	0	ACSM2B	0
0	0.506044822409287	0	0	ACSM3	0
4.30548300773367e-60	0.0379510032934675	2.73587452025992e-05	0.00416136333593031	ACSM5	1.24940811401423e-55
3.5998791495647e-232	0.162345262084574	0.00444180548882711	0	ACSS2	1.11531455811813e-227
1.08878179073266e-27	0.0538725769923105	3.79836419269752e-05	0	ACSS3	2.93426692602452e-23
1.59545265850622e-31	0.0188074362689058	0	0.955450727786966	ACTA1	4.36579665473643e-27
4.2354050911894e-77	0.106815411535797	0	0	ACTB	1.25033393697002e-72
5.9263888699867e-104	0.0972313355269729	0	0	ACTG1	1.7814132304293e-99
0	0.122662689198304	0.000598155582396898	0	ACTN1	0
9.87510134974982e-55	0.0979343772286993	0	0	ACTN4	2.84402918872795e-50
4.60466326708511e-37	0.0320025472731359	0	0.117731199351166	ACTR10	1.28180011365848e-32
3.85675602348637e-10	0.0103584167890487	0.00209613668751701	0.0358929662486837	ACTR1A	8.98547018351856e-06
2.84918332014539e-47	0.0433559015325244	0	0	ACTR2	8.11219474911796e-43
1.10761888941355e-225	0.101457358086294	0.000367792626325192	1.2957606278452e-05	ACTR3	3.42940960540223e-221
3.47236278570157e-36	0.0368797826546238	0	4.32274239817731e-05	ACTR3B	9.6385846205504e-32
2.89825435600444e-73	0.0943800892629194	0	0	ACTR3C	8.52434571188025e-69
2.03096592559591e-100	0.112790624756175	0	0	ACVR1	6.09228848701004e-96
3.27079363828128e-23	0.043505234704556	0	0	ACVR1B	8.63293272887961e-19
